bench_id	format	source_group	content_length	content_type	last_modified	etag	final_url	download_status	download_error
yaml_grafana_values	yaml	github_yaml						failed	404 Client Error: Not Found for url: https://raw.githubusercontent.com/grafana/helm-charts/0cb44b98b41df1bc345376ac40897453fa88df93/charts/grafana/values.yaml
xml_wb_population	xml	worldbank_api					https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL?format=xml&per_page=20000	reused	
xml_wb_gdp	xml	worldbank_api					https://api.worldbank.org/v2/country/all/indicator/NY.GDP.MKTP.CD?format=xml&per_page=20000	reused	
xml_wb_co2	xml	worldbank_api					https://api.worldbank.org/v2/country/all/indicator/EN.ATM.CO2E.KT?format=xml&per_page=20000	reused	
xml_wb_school	xml	worldbank_api					https://api.worldbank.org/v2/country/all/indicator/SE.PRM.ENRR?format=xml&per_page=20000	reused	
xml_wb_health	xml	worldbank_api					https://api.worldbank.org/v2/country/all/indicator/SH.XPD.CHEX.GD.ZS?format=xml&per_page=20000	reused	
xml_wb_forest	xml	worldbank_api					https://api.worldbank.org/v2/country/all/indicator/AG.LND.FRST.ZS?format=xml&per_page=20000	reused	
xml_wb_electricity	xml	worldbank_api					https://api.worldbank.org/v2/country/all/indicator/EG.USE.ELEC.KH.PC?format=xml&per_page=20000	reused	
xml_wb_unemployment	xml	worldbank_api					https://api.worldbank.org/v2/country/all/indicator/SL.UEM.TOTL.ZS?format=xml&per_page=20000	reused	
xml_wb_internet	xml	worldbank_api	0	application/json			https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=xml&per_page=20000	downloaded	
xml_wb_life	xml	worldbank_api					https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=xml&per_page=20000	reused	
zip_gutenberg_moby_dick_html	zip	gutenberg_books						failed	('Connection broken: IncompleteRead(448775 bytes read, 627558 more expected)', IncompleteRead(448775 bytes read, 627558 more expected))
zip_gutenberg_frankenstein_html	zip	gutenberg_books						failed	('Connection broken: IncompleteRead(740496 bytes read, 66862 more expected)', IncompleteRead(740496 bytes read, 66862 more expected))
zip_gutenberg_dracula_html	zip	gutenberg_books						failed	('Connection broken: IncompleteRead(152976 bytes read, 575731 more expected)', IncompleteRead(152976 bytes read, 575731 more expected))
zip_gutenberg_sherlock_html	zip	gutenberg_books					https://www.gutenberg.org/cache/epub/1661/pg1661-h.zip	reused	
zip_gutenberg_alice_html	zip	gutenberg_books					https://www.gutenberg.org/cache/epub/11/pg11-h.zip	reused	
zip_census_state	zip	census_tiger						catalog_only	
zip_census_county	zip	census_tiger						catalog_only	
zip_census_place	zip	census_tiger						catalog_only	
zip_census_zcta	zip	census_tiger						catalog_only	
zip_census_roads_autauga	zip	census_tiger						catalog_only	
