split	gate_type	confidence_threshold	margin_threshold	total_count	overall_accuracy_no_abstain	macro_f1_no_abstain	runtime_emitted_count	runtime_correct_count	runtime_high_conf_precision	runtime_high_conf_coverage	runtime_abstain_count	runtime_abstain_rate	accepted_accuracy	accepted_macro_f1	all_accepted_count	report_only_accepted_count	margin_available	meets_target_precision
heldout	combined_confidence_margin	0.65	0.25	11123	0.8269	0.8097	9262	8231	0.8887	0.8327	1861	0.1673	0.8887	0.8713	9262	0	true	false
heldout	combined_confidence_margin	0.65	0.30	11123	0.8269	0.8097	9262	8231	0.8887	0.8327	1861	0.1673	0.8887	0.8713	9262	0	true	false
heldout	combined_confidence_margin	0.65	0.35	11123	0.8269	0.8097	9194	8189	0.8907	0.8266	1929	0.1734	0.8907	0.8724	9194	0	true	false
heldout	combined_confidence_margin	0.65	0.40	11123	0.8269	0.8097	9070	8103	0.8934	0.8154	2053	0.1846	0.8934	0.8740	9070	0	true	false
heldout	combined_confidence_margin	0.65	0.45	11123	0.8269	0.8097	8884	7968	0.8969	0.7987	2239	0.2013	0.8969	0.8783	8884	0	true	false
heldout	combined_confidence_margin	0.65	0.50	11123	0.8269	0.8097	8622	7799	0.9045	0.7752	2501	0.2248	0.9045	0.8885	8622	0	true	true
heldout	combined_confidence_margin	0.70	0.00	11123	0.8269	0.8097	8793	7925	0.9013	0.7905	2330	0.2095	0.9013	0.8862	8793	0	true	true
heldout	combined_confidence_margin	0.70	0.05	11123	0.8269	0.8097	8793	7925	0.9013	0.7905	2330	0.2095	0.9013	0.8862	8793	0	true	true
heldout	combined_confidence_margin	0.70	0.10	11123	0.8269	0.8097	8793	7925	0.9013	0.7905	2330	0.2095	0.9013	0.8862	8793	0	true	true
heldout	combined_confidence_margin	0.70	0.15	11123	0.8269	0.8097	8793	7925	0.9013	0.7905	2330	0.2095	0.9013	0.8862	8793	0	true	true
heldout	combined_confidence_margin	0.70	0.20	11123	0.8269	0.8097	8793	7925	0.9013	0.7905	2330	0.2095	0.9013	0.8862	8793	0	true	true
heldout	combined_confidence_margin	0.70	0.25	11123	0.8269	0.8097	8793	7925	0.9013	0.7905	2330	0.2095	0.9013	0.8862	8793	0	true	true
heldout	combined_confidence_margin	0.70	0.30	11123	0.8269	0.8097	8793	7925	0.9013	0.7905	2330	0.2095	0.9013	0.8862	8793	0	true	true
heldout	combined_confidence_margin	0.70	0.35	11123	0.8269	0.8097	8793	7925	0.9013	0.7905	2330	0.2095	0.9013	0.8862	8793	0	true	true
heldout	combined_confidence_margin	0.70	0.40	11123	0.8269	0.8097	8793	7925	0.9013	0.7905	2330	0.2095	0.9013	0.8862	8793	0	true	true
heldout	combined_confidence_margin	0.70	0.45	11123	0.8269	0.8097	8727	7873	0.9021	0.7846	2396	0.2154	0.9021	0.8866	8727	0	true	true
heldout	combined_confidence_margin	0.70	0.50	11123	0.8269	0.8097	8552	7757	0.9070	0.7689	2571	0.2311	0.9070	0.8918	8552	0	true	true
heldout	combined_confidence_margin	0.75	0.00	11123	0.8269	0.8097	8263	7557	0.9146	0.7429	2860	0.2571	0.9146	0.9021	8263	0	true	true
