split	label	label_group	gate_type	confidence_threshold	margin_threshold	total_gold_count	predicted_label_count	emitted_count	correct_emitted_count	high_conf_precision	recall_on_gold	prediction_coverage	abstain_or_block_count	accepted_macro_f1	meets_target_precision
heldout	link_text	report_only	per_label_confidence	0.70		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	link_text	report_only	per_label_confidence	0.75		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	link_text	report_only	per_label_confidence	0.80		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	link_text	report_only	per_label_confidence	0.85		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	link_text	report_only	per_label_confidence	0.90		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	link_text	report_only	per_label_confidence	0.95		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	code_like	report_only	per_label_confidence	0.50		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	code_like	report_only	per_label_confidence	0.55		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	code_like	report_only	per_label_confidence	0.60		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	code_like	report_only	per_label_confidence	0.65		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	code_like	report_only	per_label_confidence	0.70		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	code_like	report_only	per_label_confidence	0.75		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	code_like	report_only	per_label_confidence	0.80		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	code_like	report_only	per_label_confidence	0.85		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	code_like	report_only	per_label_confidence	0.90		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	code_like	report_only	per_label_confidence	0.95		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	separator	report_only	per_label_confidence	0.50		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	separator	report_only	per_label_confidence	0.55		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	separator	report_only	per_label_confidence	0.60		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	separator	report_only	per_label_confidence	0.65		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	separator	report_only	per_label_confidence	0.70		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	separator	report_only	per_label_confidence	0.75		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	separator	report_only	per_label_confidence	0.80		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	separator	report_only	per_label_confidence	0.85		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	separator	report_only	per_label_confidence	0.90		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	separator	report_only	per_label_confidence	0.95		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	footnote_like	report_only	per_label_confidence	0.50		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	footnote_like	report_only	per_label_confidence	0.55		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	footnote_like	report_only	per_label_confidence	0.60		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	footnote_like	report_only	per_label_confidence	0.65		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	footnote_like	report_only	per_label_confidence	0.70		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	footnote_like	report_only	per_label_confidence	0.75		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	footnote_like	report_only	per_label_confidence	0.80		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	footnote_like	report_only	per_label_confidence	0.85		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	footnote_like	report_only	per_label_confidence	0.90		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
heldout	footnote_like	report_only	per_label_confidence	0.95		0	0	0	0	0.0000	0.0000	0.0000	11123	0.0000	false
